date,00300,00681,00915,00400,00930,80154,00600,00955,00010,00605,00410,00945,00440,00405,00095,00660,00950,71846,00940,00618,00665,70303,00925,00935
1983-06-21,8.6,,49.0,8.2,1.6,3.0,0.3,8.0,19.0,0.2,,5.7,,1.7,284.0,0.031,0.1,0.013,1.7,,0.01,0.2,5.9,0.8
1983-08-23,7.9,,47.0,8.3,1.6,4.0,0.2,9.6,27.0,0.06,,5.7,,1.2,280.0,0.031,0.1,0.052,2.1,,0.03,0.22,6.7,0.8
1983-10-19,8.4,,47.0,8.0,1.5,9.0,0.4,7.4,17.0,0.24,,6.0,,2.7,270.0,0.031,0.1,0.077,2.2,,0.01,0.21,7.1,0.7
1984-02-22,11.4,,40.0,8.1,1.2,1.0,0.3,5.2,10.0,,,6.5,,1.9,244.0,0.031,0.1,0.348,1.9,,0.01,0.2,5.7,0.6
1984-04-24,11.0,,41.0,8.3,1.1,1.0,0.3,6.5,16.0,0.13,,6.6,,1.1,231.0,0.031,0.1,0.09,1.9,,0.01,0.18,4.7,0.6
1984-05-17,10.0,,45.0,8.3,1.2,2.0,6.5,7.0,15.5,6.4,,6.5,,1.3,256.0,0.031,0.1,0.013,1.7,,0.01,0.23,5.2,0.7
1984-06-12,8.7,,48.0,8.2,1.7,11.0,0.82,8.5,27.0,0.36,,5.7,,1.7,270.0,0.031,0.1,0.438,2.5,,0.01,0.22,6.1,0.8
1984-08-01,9.1,,41.0,8.6,1.4,0.0,0.32,7.8,24.0,0.09,,4.3,,0.6,268.0,0.031,0.1,0.142,2.4,,0.01,0.21,5.9,0.7
1984-11-06,10.2,,41.0,8.3,1.1,4.0,0.3,6.3,12.5,0.2,121.0,6.5,,1.2,235.0,0.031,0.1,0.013,1.7,,0.01,0.18,5.5,0.7
1985-01-09,13.200000000000001,,42.0,8.299999999999999,1.1,2.2,0.5,6.1,6.0,0.33,132.0,6.4,,1.3,240.0,0.061,0.1,0.09,1.6,,0.04,0.2,5.1,0.5
1985-03-05,12.0,,41.0,8.1,1.2,3.0,0.7,6.4,12.0,0.55,114.0,6.5,,1.7,246.0,0.031,0.1,0.064,1.8,,0.01,0.17,4.4,0.5
1985-04-22,8.6,,38.0,7.9,7.8,6.0,0.4,10.0,18.0,0.28,139.0,5.9,,3.4,261.0,0.031,0.1,0.026,2.0,,0.01,,,4.3
1985-06-10,6.7,,46.0,8.3,1.5,3.0,0.2,8.2,27.0,0.1,136.0,4.9,,1.3,266.0,0.031,0.1,0.01,3.4,,0.01,0.21,5.2,0.8
1985-08-01,5.5,,45.0,7.6,1.7,1.0,0.3,8.7,25.0,0.07,134.0,4.2,,6.6,262.0,0.031,0.1,0.167,2.5,,0.01,0.21,6.1,1.0
1985-11-14,9.9,,52.0,7.9,3.1,4.0,0.3,7.2,17.0,0.18,147.0,5.6,,3.6,283.0,0.031,0.1,0.04,1.0,0.1,0.01,0.23,6.2,0.8
1986-01-28,12.6,,49.0,7.5,1.6,0.0,0.3,5.8,4.5,0.16,136.0,6.8,,8.6,238.0,0.031,0.1,0.01,2.0,0.09,0.01,0.21,6.3,0.5
1986-03-26,10.8,,43.0,8.4,1.3,6.0,0.41,6.7,13.5,0.28,121.0,13.0,,0.9,250.0,0.061,0.1,0.05,1.5,0.09,0.01,0.19,5.1,0.8
1986-05-28,7.3,,48.0,8.2,1.3,2.0,0.3,7.9,20.5,0.18,140.0,4.7,,1.8,278.0,0.031,0.1,0.039,1.5,0.1,0.01,0.21,5.2,0.8
