date,00300_cd,00681_cd,00915_cd,00400_cd,00930_cd,80154_cd,00600_cd,00955_cd,00010_cd,00605_cd,00410_cd,00945_cd,00440_cd,00405_cd,00095_cd,00660_cd,00950_cd,71846_cd,00940_cd,00618_cd,00665_cd,70303_cd,00925_cd,00935_cd
1994-06-28,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-13,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1994-08-17,,,,,,,<,,,<,,,,,,,,<,,<,<,,,
1994-08-30,,,,,,,<,,,<,,,,,,<,<,,,,,,,
1994-10-19,,,,,,,<,,,<,,,,,,<,<,,,,,,,
1994-11-16,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1994-12-07,,,,,,,<,,,<,,,,,,<,<,<,,,,,,
1995-01-09,,,,,,,<,,,<,,,,,,<,<,<,,,,,,
1995-02-14,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1995-03-07,,,,,,,,,,<,,,,,,,<,<,,,,,,
1995-03-20,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1995-04-10,,,,,,,<,,,<,,,,,,<,<,<,,,,,,
1995-05-08,,,,,,,<,,,,,,,,,<,<,,,<,,,,
1995-06-05,,,,,,,<,,,<,,,,,,<,<,,,<,<,,,
1995-07-10,,,,,,,<,,,<,,,,,,<,,<,,,,,,
1995-08-21,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1995-10-11,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1995-11-01,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1996-01-25,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1996-01-31,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-22,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1996-04-11,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1996-05-08,,,,,,,<,,,<,,,,,,,<,,,,,,,
1996-06-20,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1996-07-23,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1996-08-21,,,,,,,<,,,<,,,,,,,<,<,,,<,,,
1996-09-18,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1996-10-22,,,,,,,<,,,<,,,,,,<,<,,,,,,,
1997-02-20,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1997-04-22,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1997-05-20,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1997-06-16,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1997-07-14,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1997-08-18,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1997-09-25,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1997-10-15,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1997-11-18,,,,,,,<,,,,,,,,,<,<,,,,<,,,
1997-12-17,,,,,,,<,,,<,,,,,,<,<,<,,<,<,,,
1998-01-14,,,,,,,<,,,<,,,,,,,<,<,,,<,,,
1998-02-09,,,,,,,<,,,<,,,,,,,<,,,<,<,,,
1998-03-16,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
1998-04-15,,,,,,,<,,,<,,,,,,,<,,,<,,,,
1998-05-12,,,,,,,<,,,<,,,,,,<,,,,<,<,,,
1998-06-10,,,,,,,<,,,<,,,,,,<,<,,,,<,,,
1998-07-08,,,,,,,<,,,<,,,,,,,<,,,,,,,
